rxcui,name,tty
2743046,Amerithroid,BN
204292,Amicar,BN
215216,Amidate,BN
830652,"Aminosyn 10%, Sulfite-Free",BN
847782,"Aminosyn 3.5 % M, Sulfite Free",BN
1189607,"Aminosyn 8.5 % with Electrolytes, Sulfite-Free",BN
830681,"Aminosyn 8.5%, Sulfite-Free",BN
800238,Aminosyn II 10 %,BN
800189,Aminosyn II 15%,BN
1189304,"Aminosyn II 8.5 % with Electrolytes, Sulfite-Free",BN
800217,"Aminosyn II 8.5 %, Sulfite-Free",BN
800270,"Aminosyn-HBC 7 %, Sulfite-Free",BN
800342,"Aminosyn-PF 10 %, Sulfite-Free",BN
831427,Aminosyn-PF 7%,BN
615205,Amitiza,BN
2627713,Amjevita,BN
215246,Amlactin,BN
352422,AmLactin AP,BN
598000,Ammonul,BN
404854,Amnesteem,BN
2480101,Amondys 45,BN
897049,Amoxi Drop,BN
1358969,Amoxi-tabs,BN
542922,Amphadase,BN
1432952,Amprid,BN
1092541,Amprol,BN
2716690,Ampromax,BN
1429028,AmproMed for Calves,BN
1429877,Ampromed-P,BN
897022,Ampyra,BN
725085,Amrix,BN
2675870,Amtagvi,BN
203446,Amvisc,BN
2604790,Amvuttra,BN
151348,Amytal,BN
2257674,Amzeeq,BN
1012324,Ana-Lex,BN
545880,Anabar,BN
215255,Anacaine,BN
215256,Anacin,BN
721973,Anacin Advanced Headache Formula,BN
215257,Anacin AF,BN
724441,Anacin Aspirin Regimen,BN
756,Anafranil,BN
215264,Analpram HC,BN
202399,Anaprox,BN
1119990,Anascorp,BN
1099664,AnaSed,BN
1086023,Anasept,BN
769,Anaspaz,BN
2101276,Anavip,BN
153287,Anbesol,BN
1052617,Anbesol Cold Sore Therapy,BN
227633,Ancobon,BN
2717177,Andembry,BN
2045130,Andexxa,BN
215283,Androderm,BN
261448,Androgel,BN
807744,AneCream,BN
203518,Anectine,BN
285044,Angiomax,BN
1193041,Animi-3 with Vitamin D,BN
880384,Anipryl,BN
2281107,Anjeso,BN
2682686,Anktiva,BN
2055984,Annovera,BN
1487520,Anoro,BN
203411,Ansaid,BN
151358,Antabuse,BN
578784,Antara,BN
1009346,Anthelcide EQ,BN
1746911,Anthim,BN
1722341,Anthrasil,BN
1541087,Anti Bac,BN
2666369,Anticholium,BN
94794,ANTIROBE,BN
646266,Antisedan,BN
91818,Antivert,BN
215344,Anucort-HC,BN
151363,Anusol HC,BN
215357,Anzemet,BN
2721168,Anzupgo,BN
2001359,Apadaz,BN
404858,Apexicon,BN
215364,Aphedrid,BN
2664902,Aphexda,BN
607583,Apidra,BN
835486,Aplenzin,BN
227357,Aplisol,BN
544581,Apokyn,BN
2631784,Aponvie,BN
1487012,Apoquel,BN
705766,Appearex,BN
2588044,Apretude,BN
825131,Apriso,BN
1648175,Aptensio,BN
1482508,Aptiom,BN
614593,Aptivus,BN
2693618,Aqneursa,BN
215369,Aqua Care,BN
792088,Aqua Glycolic Shampoo and Body Cleanser,BN
215374,Aqua-Ban,BN
215381,Aquanil HC,BN
215383,Aquaphilic with Urea,BN
1052951,Aquaphor,BN
1663729,Aquaphor Diaper Rash,BN
2462506,Aquaphor Itch Relief,BN
202783,Aquasol A,BN
215387,Aquasol E,BN
2730661,Aqvesme,BN
2054097,Arakoda,BN
542373,Aralast,BN
337045,Aranesp,BN
215393,Arava,BN
2267562,Arazlo,BN
2709040,Arbli,BN
763454,Arcalyst,BN
2699821,Arcticzen,BN
2743204,Arepanrix,BN
352444,Arestin,BN
2636595,Arexvy,BN
135446,Aricept,BN
2059185,Arikayce,BN
262485,Arimidex,BN
1673270,Aristada,BN
322155,Arixtra,BN
1484930,Arkaliox,BN
2737550,Armlupeg,BN
1941532,Armonair,BN
215407,Armour Thyroid,BN
1547650,Arnuity,BN
262105,Aromasin,BN
2596269,Arovyn,BN
613324,Arranon,BN
991270,Artec,BN
1094380,Arth-RX,BN
730021,Arthricare for Women Moisturizing,BN
730029,Arthricare for Women Pain Relieving Nighttime,BN
730025,Arthricare for Women Ultra Strength,BN
1303154,Arthriten Inflammatory Pain,BN
2105943,Arthritis Hot Pain Relief,BN
68373,Arthrotec,BN
1305871,Arthur Itis,BN
861348,Articadent,BN
794207,Artiss,BN
2726049,Arynta,BN
876301,Arzerra,BN
215422,Ascarel,BN
2123038,Asceniv,BN
968174,Asclera,BN
1372693,Ascomp,BN
2002735,Ascor,BN
616812,Asmanex,BN
2121422,Asparlas,BN
215427,Aspercreme,BN
202546,Aspergum,BN
1600986,Aspi-Cor,BN
2594754,Aspruzyo,BN
1431972,Astagraf,BN
824962,Astepro,BN
215456,Asthmanefrin,BN
991278,Astri-UC,BN
544861,Astringyn,BN
215458,Atacand,BN
284662,Atacand HCT,BN
1204,ATGAM,BN
202479,Ativan,BN
2729336,Atmeksi,BN
2597535,Atomic Balm,BN
2739832,Atoncy,BN
539497,Atopica,BN
2631862,Atorvaliq,BN
215461,Atrac-Tain,BN
728470,Atralin,BN
643067,Atripla,BN
404863,Atropen,BN
151390,Atrovent,BN
834852,ATryn,BN
2698319,Attruby,BN
2714188,Atzumi,BN
1310526,Aubagio,BN
2700169,Aucatzyl,BN
2694012,Audenz,BN
151392,Augmentin,BN
2670650,Augtyro,BN
2725941,Aukelso,BN
2168354,Aulief,BN
215480,Auraphene-B,BN
2680305,Aurlumyn,BN
827728,Auro Ear,BN
1596018,Auryxia,BN
1876911,Austedo,BN
2611261,Auvelity,BN
1305264,Auvi-Q,BN
2734138,Avaclyr,BN
1089997,Avagard,BN
852900,Availnex,BN
261454,Avalide,BN
153668,Avapro,BN
405805,Avar,BN
337521,Avastin,BN
1490662,Aveed,BN
261456,Avelox,BN
2719752,Avgemsi,BN
830602,Avidoxy,BN
215492,Avita,BN
2740020,Avlayah,BN
2714521,Avmapki,BN
2049631,Avoca,BN
352453,Avodart,BN
153326,Avonex,BN
2735798,Avopef,BN
2266526,Avsola,BN
2705427,Avtozma,BN
1603841,Avycaz,BN
2700737,Avzivi,BN
2740403,Awiqli,BN
2699335,Axtle,BN
215496,Aygestin,BN
215497,Ayr Saline Nasal,BN
2272113,Ayvakit,BN
202561,Azactam,BN
404872,Azasan,BN
706869,AzaSite,BN
2053287,Azedra,BN
215499,Azelex,BN
635985,Azilect,BN
2694311,Azmiro,BN
215502,Azo Urinary Pain Relief,BN
1721429,Azo Urinary Tract Defense,BN
194882,Azopt,BN
730862,Azor,BN
2562202,Azstarys,BN
1591986,Aztec Gold,BN
202770,Azulfidine,BN
215512,B-Caro-T,BN
1247259,B-Natal,BN
215528,Babee Cof,BN
1489295,Baby Anti Monkey Butt Diaper Rash Cream,BN
1432510,Baby Butz Diaper Rash,BN
544492,BabyBIG,BN
215536,Baciguent,BN
1356075,Backaid,BN
1361397,Backaid IPF,BN
884767,Backprin,BN
1038776,Bactimicina,BN
1110709,Bactimicina Sore Throat,BN
215543,Bactine,BN
2716737,Bactine Antibiotic,BN
2475349,Bactine Wound Wash,BN
1291129,Bactoshield,BN
1050108,Bactracillin G,BN
151399,Bactrim,BN
227591,Bactroban,BN
2393588,Bafiertam,BN
215527,BAL in Oil,BN
2643205,Balfaxar,BN
967555,Balmex,BN
1492067,Balmex Ointment,BN
91925,Balnetar,BN
2123132,Balversa,BN
1116935,Banamine,BN
1235018,Band-Aid Hurt-Free,BN
215558,Banophen,BN
1092425,Banophen Cream,BN
824296,Banzel,BN
2180667,Baqsimi,BN
588846,Baraclude,BN
2284233,Barhemsys,BN
215562,Baridium,BN
1376446,Barrier-Dyne,BN
1736859,Basaglar,BN
1875543,Bavencio,BN
1927668,Baxdela,BN
2743404,Baxfendy,BN
215568,Bayer Aspirin,BN
204329,BAYTRIL,BN
894769,Baytril Otic,BN
215581,Baza,BN
1053197,Baza Cleanse and Protect,BN
1085648,Baza Clear,BN
1053155,Baza-Protect,BN
2589792,Baza-Protect Reformulated June 2020,BN
1247393,BC Arthritis,BN
1247398,BC Original Formula,BN
287534,Beano,BN
1494185,Beano Dairy Defense,BN
151414,Beconase,BN
1052607,Bedside-Care,BN
261459,Beelith,BN
2697040,Beizray,BN
1716058,Belbuca,BN
1543548,Beleodaq,BN
2178262,Belrapzo,BN
1547105,Belsomra,BN
203457,Benadryl,BN
1926216,Benadryl Allergy Plus Congestion,BN
877058,Benadryl Children's Anti-Itch,BN
607032,Benadryl Itch Stopping,BN
701329,Benadryl-D Allergy and Sinus,BN
1541811,Bencocaine,BN
1726098,Bendeka,BN
687620,Benefiber,BN
2702484,Benefiber Fiber,BN
669370,BeneFIX,BN
327503,Benicar,BN
404880,Benicar HCT,BN
1092441,Benlysta,BN
1312993,Bensal,BN
203018,Bentyl,BN
615960,Benz-O-Sthetic,BN
215643,Benzac,BN
117919,Benzamycin,BN
227666,Benzedrex,BN
866055,Benzefoam,BN
1302429,Benzepro,BN
1009403,Benzo-Jel,BN
1112939,Benzodent,BN
2204921,Beovu,BN
863039,Bepreve,BN
2681028,Beqvez,BN
1487623,Berberex Wound Cleanser,BN
867378,Berinert,BN
2121406,Beser,BN
850306,Besivance,BN
1942955,Besponsa,BN
2587066,Besremi,BN
1043071,Beta-HC,BN
2692879,Betacilin,BN
202750,Betadine,BN
151434,Betagan,BN
224909,Betapace,BN
215667,Betasept,BN
82828,Betaseron,BN
215668,Betatar Gel,BN
1660746,Betavet,BN
1314764,Bethkis,BN
215672,Betimol,BN
215673,Betoptic S,BN
1790640,Bevespi,BN
2627050,Bexacat,BN
1601403,Bexsero,BN
2642408,Beyfortus,BN
203729,Biaxin,BN
1086436,Bicarsim,BN
225110,Bicillin,BN
215674,Bicillin L-A,BN
343027,BiCNU,BN
215678,Bidex,BN
303838,Bidil,BN
849609,Bifera,BN
993749,Bigeloil,BN
2108925,Bijuva,BN
1999668,Biktarvy,BN
2723352,Bildyos,BN
2560111,Bilovet,BN
2723340,Bilprevda,BN
