code,description
Q17,Các dị tật bẩm sinh khác ở tai
Q17.0,Dị tật thừa ở vành tai
Q17.2,Dị tật tai bé
Q17.3,Tật tai có hình dị thường
Q17.5,Tật tai nhô
Q17.8,Những dị tật bẩm sinh đặc hiệu khác của tai
Q17.9,Dị tật bẩm sinh tai không đặc hiệu
Q18,Các dị tật bẩm sinh khác của mặt và cổ
Q18.1,Xoang và mang trước tai
Q18.2,Dị tật khe hở mang khác
Q18.3,Màng da cổ
Q18.4,Tật mồm rộng
Q18.6,Môi to
Q18.7,Môi nhỏ
Q18.9,"Dị tật bẩm sinh ở mặt và cổ, không đặc hiệu"
Q20,Các dị tật bẩm sinh của các buồng tim và bộ phận nối
Q20.0,Thân động mạch chung
Q20.1,Thất phải hai đường ra
Q20.2,Thất trái hai đường ra
Q20.4,Thất hai đường vào
Q20.5,Phần nối nhĩ - thất không phù hợp
Q20.6,Đồng phân của tiểu nhĩ
Q20.8,Các dị tật bẩm sinh khác của các buồng tim và phần nối
Q21,Các dị tật bẩm sinh của vách tim
Q21.0,Thông liên thất
Q21.1,Thông liên nhĩ
Q21.2,Thông vách nhĩ thất
Q21.3,Tứ chứng Fallot
Q21.4,Thông vách động mạch chủ - phổi
Q21.8,Những dị tật bẩm sinh khác của vách tim
Q22,Các dị tật bẩm sinh của van ba lá và động mạch phổi
Q22.0,Teo van động mạch phổi
Q22.1,Hẹp van động mạch phổi bẩm sinh
Q22.2,Hở van động mạch phổi bẩm sinh
Q22.3,Các dị tật bẩm sinh khác của van động mạch phổi
Q22.4,Hẹp van ba lá bẩm sinh
Q22.6,Hội chứng tim phải thiểu sản
Q22.8,Các dị tật bẩm sinh khác của van ba lá
Q23,Các dị tật bẩm sinh của van hai lá và động mạch chủ
Q23.0,Hẹp van động mạch chủ bẩm sinh
Q23.1,Hở van động mạch chủ bẩm sinh
Q23.2,Hẹp van hai lá bẩm sinh
Q23.4,Hội chứng tim trái thiểu sản
Q23.8,Các dị tật bẩm sinh khác của van hai lá và động mạch chủ
Q23.9,"Dị tật bẩm sinh của van hai lá và động mạch chủ, không đặc hiệu"
M51.0†,Các bệnh của đĩa đệm đốt sống thắt lưng và các đốt sống khác có kèm theo tổn thương tủy sống (G99.2*)
M51.1†,Bệnh của đĩa đệm đốt sống thắt lưng và các đốt sống khác có kèm tổn thương của rễ tủy sống (G55.1*)
M51.3,thoái hóa đĩa đệm đốt sống đặc hiệu khác
M51.4,Nhân Schmorl
M51.8,Các tổn thương đặc hiệu khác của đĩa đệm
M53,"Bệnh cột sống khác, không được xếp loại ở mục khác"
M53.0,Hội chứng đầu - cổ
M53.1,Hội chứng cánh tay cổ
M53.2,cột sống mất vững
M53.3,"Tổn thương cùng cụt, chưa xếp loại mục khác"
M53.8,Các bệnh cột sống xác định khác
M54,Đau lưng
M54.0,Viêm mô mỡ dưới da tại vùng cổ và lưng
M54.1,Bệnh rễ thần kinh tủy sống
M54.2,Đau vùng cổ gáy
M54.4,Đau lưng kèm đau dây thần kinh tọa
M54.6,Đau cột sống ngực
M54.8,Các đau lưng khác
M54.9,Đau lưng không đặc hiệu
M60.0,Viêm cơ nhiễm khuẩn
M60.1,Viêm tổ chức kẽ của cơ
M60.2,"U hạt mô mềm do dị vật, không được xếp loại ở mục khác"
M60.9,Viêm cơ không đặc hiệu
M61,Vôi hóa và cốt hóa cơ
M61.1,Viêm cơ cốt hóa tiến triển
M61.2,Vôi hóa và cốt hóacơ do liệt
M61.3,Vôi hóa và cốt hóa cơ liên quan đến bỏng
M61.4,Các dạng vôi hóa cơ khác
M61.5,Các dạng cốt hóa cơ khác
M62.0,Lỏng nhẽo cơ
M62.1,rách cơ khác (không do chấn thương)
M62.3,Hội chứng bất động (liệt 2 chi dưới)
M62.4,Co cứng cơ
M62.5,"Nhẽo cơ và teo cơ, không được xếp loại ở mục khác"
M62.6,Căng cơ quá mức
M62.9,Bệnh cơ không đặc hiệu
M63*,Bệnh cơ trong những bệnh được xếp loại ở mục khác
M63.1*,Viêm cơ trong nhiễm ký sinh trùng và động vật đơn bào được xếp loại ở mục khác
M63.2*,Viêm cơ trong các bệnh nhiễm khuẩn khác được xếp loại ở mục khác
M63.3*,Viêm cơ trong bệnh sacoidosis D86.8
M63.8*,Các bệnh cơ khác trong những bệnh được xếp loại ở mục khác
M65,Viêm màng hoạt dịch và viêm bao gân
M65.0,Áp xe bao gân
M65.1,Các chứng viêm màng hoạt dịch hoặc viêm bao gân nhiễm khuẩn khác
M65.2,Viêm gân vôi hóa
M65.3,Ngón tay lò xo
M65.4,Viêm bao gân mỏm trâm quay [de Quervain]
L87.8,Các bệnh loại bỏ dị vật qua thượng bì khác
L87.9,"Các bệnh loại bỏ dị vật qua thượng bì, không điển hình"
L88,Viêm da mủ hoại thư
L89,Loét nằm và vùng đè ép
L89.1,Loét nằm giai đoạn II
Q50.5,Nang nguồn gốc bào thai của dây chằng rộng
Q50.6,Những dị tật bẩm sinh khác của vòi trứng và dây chằng rộng
Q51,Dị tật bẩm sinh của tử cung và cổ tử cung
Q51.1,Tử cung đôi với cổ tử cung và âm đạo đôi
Q51.10,"Tử cung đôi với cổ tử cung và âm đạo đôi không có tắt nghẽn, Tử cung đôi với cổ tử cung và âm đạo đôi NOS"
Q51.11,Tử cung đôi với cổ tử cung và âm đạo đôi có tắt nghẽn
Q51.2,Các loại tử cung đôi khác
Q51.4,Tử cung một sừng
Q51.5,Bất sản và ngừng phát triển của cổ tử cung
Q51.7,Rò bẩm sinh giữa tử cung với ống tiêu hóa và đường tiết niệu
Q51.8,Các dị tật bẩm sinh khác của tử cung và cổ tử cung
Q51.9,Dị tật bẩm sinh của tử cung và cổ tử cung không đặc hiệu
Q52,Các dị tật bẩm sinh khác của cơ quan sinh dục nữ
Q52.0,Không có âm đạo bẩm sinh
Q52.1,Âm đạo đôi
Q52.3,Màng trinh không thủng
Q52.4,Các dị tật bẩm sinh khác của âm đạo
Q52.5,Dính môi lớn
Q52.7,Các dị tật bẩm sinh khác của âm hộ
Q52.70,"Các dị tật bẩm sinh khác của âm hộ không xác định, Dị tật bẩm sinh của âm hộ NOS"
Q52.71,Không có âm hộ bẩm sinh
Q52.8,Các dị tật bẩm sinh đặc hiệu khác của cơ quan sinh dục nữ
Q52.9,Dị tật bẩm sinh của cơ quan sinh dục nữ không đặc hiệu
Q53,Tinh hoàn lạc chỗ
Q53.0,Tinh hoàn lạc chỗ
Q53.00,"Tinh hoàn lạc chỗ, không xác định"
Q53.01,"Tinh hoàn lạc chỗ, một bên"
Q53.02,"Tinh hoàn lạc chỗ, hai bên"
Q53.1,Tinh hoàn chưa xuống bìu một bên
Q53.10,"Tinh hoàn chưa xuống bìu một bên, không xác định"
O02,Bất thường khác của trứng
O02.0,Trứng thoái triển và chửa trứng không có nang
O02.1,Sẩy thai sớm
O02.8,Bất thường xác định khác của trứng
O02.9,"Bất thường khác trong thụ thai, chưa xác định"
O03,Sẩy thai tự nhiên
O04,Phá thai nội khoa
O06,Phá thai chưa xác định rõ
O07,Phá thai thất bại
O07.1,"Phá thai nội khoa thất bại, gây biến chứng ra máu chậm hoặc nhiều quá mức"
O07.2,"Phá thai nội khoa thất bại, gây biến chứng tắc mạch"
O07.3,"Phá thai nội khoa thất bại, gây biến chứng khác, chưa xác định rõ"
O07.4,"Phá thai nội khoa thất bại, không có biến chứng"
O07.5,"Phá thai nội khoa thất bại khác, chưa xác định rõ gây biến chứng nhiễm khuẩn đường sinh dục và tiểu khung"
O07.6,"Phá thai nội khoa thất bại khác chưa xác định rõ, gây biến chứng ra máu chậm và nhiều quá mức"
O07.7,"Phá thai nội khoa thất bại khác chưa xác định rõ, gây biến chứng tắc mạch"
O07.8,"Phá thai nội khoa thất bại khác, chưa xác định rõ các biến chứng khác"
P92.9,Vấn đề nuôi dưỡng không được định rõ của trẻ sơ sinh
P94,Rối loạn trương lực cơ của trẻ sơ sinh
P94.0,Nhược cơ nặng thóang qua của trẻ sơ sinh
P94.1,Tăng trương lực cơ bẩm sinh
P94.2,Giảm trương lực cơ bẩm sinh
P94.8,Các rối loạn trương lực cơ khác của trẻ sơ sinh
P94.9,Rối loạn trương lực cơ không được định rõ của trẻ sơ sinh
P95,Thai chết vì nguyên nhân không được định rõ
P96.0,Suy thận bẩm sinh
P96.1,Hội chứng cai thuốc của trẻ sơ sinh vì mẹ nghiện dùng thuốc
P96.2,Hội chứng cai thuốc vì dùng thuốc để điều trị cho trẻ sơ sinh
P96.3,Giãn khớp sọ của trẻ sơ sinh
P96.4,"Đình chỉ thai nghén, ảnh hưởng thai và trẻ sơ sinh"
P96.5,Biến chứng của thủ thuật trong tử cung không xếp loại ở chỗ khác
P96.8,Các bệnh lý được định rõ khác xuất phát từ trong giai đoạn chu sinh
P96.9,Bệnh lý không được định rõ xuất phát từ trong giai đoạn chu sinh
Q00,Dị tật không não và các dị tật tương tự
Q00.0,Tật không có não
Q00.1,Tật nứt sọ-cột sống
Q00.2,Tật thóat vị não chẩm
Q01,Thóat vị não
Q78.8,Các loạn sản xương sụn đặc hiệu khác
Q79,"Các dị tật bẩm sinh của hệ cơ xương, chưa được phân loại ở chỗ khác"
Q79.0,Thóat vị hoành bẩm sinh
Q79.1,Các dị tật bẩm sinh khác của cơ hoành
Q79.2,Lồi rốn
Q79.3,Khe hở thành bụng
Q79.5,Các dị tật bẩm sinh khác của thành bụng
Q79.6,Hội chứng Ehiers - Vanlos
Q79.8,Các dị tật bẩm sinh khác của hệ cơ xương
Q79.9,"Dị tật bẩm sinh của hệ cơ xương, không đặc hiệu"
Q80.0,Bệnh vảy cá thông thường
Q80.1,Bệnh vảy cá liên kết nhiễm sắc thể X
Q80.3,Chứng đỏ da dạng vảy cá bóng bẩm sinh
Q80.4,Thai mắc bệnh vảy cá
Q80.8,Bệnh vảy cá bẩm sinh khác
Q81,Bong biểu bì bọng nước
Q81.0,Bong biểu bì bọng nước giản đơn
Q81.1,Bong biểu bì bọng nước dạng gây tử vong
Q81.2,Loạn dưỡng do bong biểu bì bọng nước
Q81.9,Bong biểu bì không đặc hiệu
Q82,Dị tật bẩm sinh khác về da
Q82.0,Phù bạch huyết di truyền
Q82.1,Bệnh khô da nhiễm sắc tố
Q82.3,Sắc tố không kiềm chế được
Q82.4,Loạn sản ngoại bì (làm giảm tiết mồ hôi)
Q82.8,"Các dị tật về da bẩm sinh, đặc hiệu khác"
Q82.9,Dị tật bẩm sinh về da không đặc hiệu
Q83,Dị tật bẩm sinh của vú
Q83.1,Vú phụ
Q83.2,Thiếu núm vú
Q83.3,Núm vú phụ
Q83.8,Dị tật bẩm sinh khác của vú
Q84,Dị tật bẩm sinh khác của bộ phận bao bọc
Q24,Các dị tật bẩm sinh khác của tim
Q24.0,Tim sang phải
Q24.2,Nhĩ ba buồng
Q24.3,Hẹp phễu động mạch phổi
Q24.4,Hẹp dưới van động mạch chủ bẩm sinh
Q89.0,Các dị tật bẩm sinh của lách
Q89.1,Các dị tật bẩm sinh của tuyến thượng thận
Q89.2,Các dị tật bẩm sinh của các tuyến nội tiết khác
Q89.4,Sinh đôi dính nhau
Q89.7,"Các đa dị tật bẩm sinh khác, chưa phân loại"
Q89.8,Các dị tật bẩm sinh đặc hiệu khác
Q90,Hội chứng Down
Q90.0,"Ba nhiễm sắc thể, giảm phân không phân ly"
Q90.1,"Ba nhiễm sắc thể, thể khảm (gián phân không phân ly)"
Q90.9,Hội chứng Down không đặc hiệu
Q91,Hội chứng Edwards và hội chứng Patau
Q91.0,"Ba nhiễm sắc thể 18, giảm phân không phân ly"
Q91.1,"Ba nhiễm sắc thể, thể khảm (gián phân không phân ly)"
Q91.4,"Ba nhiễm sắc thể 13, không phân ly khi giảm phân"
Q91.5,"Ba nhiễm sắc thể 13, thể khảm (không phân ly khi gián phân)"
Q91.6,"Ba nhiễm sắc thể 13, chuyển đoạn"
Q91.7,"Hội chứng Patau, không đặc hiệu"
Q92.0,"Ba nhiễm sắc thể hoàn toàn, không phân ly khi giảm phân"
Q92.1,"Ba nhiễm sắc thể hoàn toàn, thể khảm (không phân ly khi gián phân)"
Q92.2,Ba nhiễm sắc thể một phần lớn
Q92.3,Ba nhiễm sắc thể một phần nhỏ
Q92.4,Sự nhân đôi chỉ thấy ở tiền pha giữa (tiền trung kỳ)
Q92.5,Nhân đôi cùng với sự sắp xếp lại các phức hợp khác
Q92.6,Nhiễm sắc thể có dấu ấn ngoài
Q92.7,Tam bội và đa bội
Q92.8,Ba nhiễm sắc thể đặc hiệu khác và ba nhiễm sắc thể một phần của nhiễm sắc thể thường
Q92.9,"Ba nhiễm sắc thể và một phần ba nhiễm sắc thể của nhiễm sắc thể thường, không đặc hiệu"
Q93,"Đơn nhiễm sắc thể và thiếu một đoạn của nhiễm sắc thể thường, không được xếp loại chỗ khác"
Q93.1,"Đơn nhiễm sắc thể hoàn toàn, thể khảm (không phân ly khi gián phân)"
Q93.2,Nhiễm sắc thể vòng hay hai trung tâm
Q93.3,Thiếu cánh ngắn nhiễm sắc thể số 4
Q93.4,Thiếu cánh ngắn nhiễm sắc thể số 5
Q93.5,Thiếu đoạn khác của nhiễm sắc thể
Q93.6,Thiếu đoạn chỉ thấy ở tiền pha giữa (tiền trung kỳ)
Q93.8,Thiếu đoạn của nhiễm sắc thể thường khác
Q93.9,"Thiếu đoạn của nhiễm sắc thể thường, không đặc hiệu"
Q95,"Sắp xếp lại cân bằng và dấu ấn cấu trúc, không xếp loại ở chỗ khác"
Q95.0,Chuyển và gắn đoạn cân bằng ở cá thể bình thường
Q95.1,Đảo đoạn nhiễm sắc thể ở cá thể bình thường
Q95.3,Sắp xếp lại cân bằng nhiễm sắc thể thường/nhiễm sắc thể giới tính ở cá thể không bình thường
Q95.4,Cá thể có dấu ấn chất dị nhiễm sắt
Q95.5,Cá thể có đoạn nhiễm sắc thể thường dễ gẫy
L89.2,Loét nằm giai đoạn III
L89.3,Loét nằm giai đoạn IV
L89.9,"Loét nằm và vùng đè ép, không đặc hiệu"
L90.0,Lichen xơ teo
L90.1,Bệnh teo da Schweninger-Buzzi
L90.4,Viêm da đầu chi teo mãn tính
L90.5,Các bệnh sẹo và xơ hoá của da
L90.6,Rạn da teo
L90.8,Các bệnh teo da khác
L91,Các bệnh quá sản của da
L91.0,Sẹo phì đại
L91.8,Các bệnh quá sản khác của da
L92,U hạt của da và tổ chức dưới da
L92.0,U hạt hình nhẫn
L92.1,"Hoại tử mỡ, chưa phân loại ở phần khác"
L92.2,U hạt ở mặt [u hạt nhiễm bạch ái toan của da]
L92.3,U hạt ở da và tổ chức dưới da do dị vật
L92.9,"Các bệnh u hạt ở da và tổ chức dưới da, không điển hình"
L93,Lupus ban đỏ
L93.0,Lupus ban đỏ dạng đĩa
L93.1,Lupus ban đỏ bán cấp
L93.2,Lupus ban đỏ khu trú khác
L94.0,Xơ cứng bì khu trú [dạng mảng]
L94.1,Xơ cứng bì dạng dải
L94.2,Lắng đọng Calci ở da
L94.3,Xơ cứng ngón
L94.5,Bệnh teo da dạng mạng lưới giãn mạch
L94.6,Bệnh Ainhum
L94.9,"Các bệnh tổ chức liên kết khu trú, không điển hình"
L95,"Viêm mao mạch ở da, chưa phân loại ở phần khác"
L95.0,Viêm mạch mạng lưới
L95.1,Ban đỏ nổi cục rắn
L95.8,Viêm mao mạch ở da
L97,"Loét chi dưới, chưa phân loại ở phần khác"
L98,Bệnh khác của da và mô dưới da chưa được phân loại ở phần khác
L98.0,U hạt sinh mủ
L98.1,Viêm da tự tạo
L98.3,Viêm mô bào tăng bạch cầu ái toan [Hội chứng Wells]
L98.4,"Loét da mãn tính, chưa phân loại ở phần khác"
L98.5,Bệnh thoái hóa nhày ở da
L98.6,Các bệnh có thâm nhiễm khác ở da và tổ chức dưới da
L98.8,Bệnh đặc hiệu khác ở da và tổ chức dưới da
L98.9,"Bệnh ở da và tổ chức dưới da, không điển hình"
L99*,Bệnh khác của da và tổ chức dưới da trong các bệnh đã phân loại ở phần khác
L99.8*,Bệnh ở da và tổ chức dưới da đặc hiệu khác trong các bệnh đã phân loại ở phần khác
M00.0,Viêm khớp và viêm đa khớp do tụ cầu khuẩn
M00.01,Viêm khớp do tụ cầu khuẩn ở vai
M00.02,Viêm khớp do tụ cầu khuẩn ở khuỷu tay
M00.03,"Viêm khớp do tụ cầu khuẩn ở cổ tay, Viêm khớp do tụ cầu khuẩn ở các xương cổ tay"
M00.04,"Viêm khớp do tụ cầu khuẩn ở bàn tay, Viêm khớp do tụ cầu khuẩn ở xương bàn tay và xương ngón tay"
M00.05,Viêm khớp do tụ cầu khuẩn ở háng
M76.6,Viêm gân Achille
M76.7,Viêm gân cơ mác
O07.9,"Phá thai nội khoa thất bại khác không chỉ rõ, không có biến chứng"
O08.0,"Nhiễm khuẩn đường sinh dục và tiểu khung sau sẩy thai, chửa ngoài tử cung và chửa trứng"
O08.1,"Ra máu kéo dài hay quá nhiều sau sẩy thai, chửa ngoài tử cung và chửa trứng"
O08.2,"Tắc mạch sau sẩy thai, chửa ngoài tử cung hay chửa trứng"
O08.3,"choáng sau sẩy thai, chửa ngoài tử cung hay chửa trứng"
O08.4,"Suy thận sau sẩy thai, chửa ngoài tử cung hay chửa trứng"
O08.5,"Rối loạn chuyển hóa sau sẩy thai, chửa ngoài tử cung hay chửa trứng"
O08.6,"Tổn thương các tạng và tổ chức ở tiểu khung sau sẩy thai, chửa ngoài tử cung hay chửa trứng"
O08.8,"Biến chứng khác sau sẩy thai, chửa ngoài tử cung hay chửa trứng"
O08.9,"Biến chứng sau sẩy thai, chửa ngoài tử cung hay chửa trứng, chưa xác định rõ"
O10,"Tăng huyết áp có sẵn gây biến chứng cho thai nghén, cuộc đẻ và sau khi đẻ"
O10.0,"Tăng huyết áp chủ yếu có sẵn gây biến chứng cho thai nghén, khi đẻ và sau khi đẻ"
O10.1,"Bệnh tim do tăng huyết áp có sẵn gây biến chứng cho thai nghén, khi đẻ và sau khi đẻ"
O10.2,"Bệnh thận do tăng huyết áp có sẵn gây biến chứng cho thai nghén, khi đẻ và sau khi đẻ"
O10.3,"Bệnh tim và thận do tăng huyết áp có sẵn gây biến chứng cho thai nghén, khi đẻ và sau khi đẻ"
O10.4,"Tăng huyết áp thứ phát có sẵn gây biến chứng cho thai nghén, khi đẻ và sau khi đẻ"
O11,Tiền sản giật kèm theo tăng huyết áp mãn tính
O12,Phù khi thai nghén (do thai nghén gây ra) và protein niệu mà không có tăng huyết áp
O12.0,Phù thai nghén
O12.1,Protein niệu thai nghén
O12.2,Phù và protein niệu thai nghén
O13,Tăng huyết áp thai nghén (do thai nghén gây ra)
O14,Tiền sản giật
O14.1,Tiền sản giật thể nặng
O14.2,"Hội chứng HELLP (Sự kết hợp của tan máu, tăng men gan và giảm tiểu cầu)"
O14.9,Tiền sản giật chưa xác định rõ
O15,Sản giật
O15.1,Sản giật trong khi chuyển dạ
O15.2,Sản giật trong thời kỳ sau đẻ
P11.4,Tổn thương các dây thần kinh sọ khác do chấn thương khi sinh
P11.5,Tổn thương cột sống và tủy sống do chấn thương khi sinh
P11.9,"Tổn thương hệ thần kinh trung ương do chấn thương khi sinh, chưa xác định"
P12,Chấn thương da đầu khi sinh
P12.0,Máu tụ dưới cốt mạc do chấn thương khi sinh
P12.1,Bong da đầu do chấn thương khi sinh
P12.3,Bầm tím da đầu do chấn thương khi sinh
P12.4,Chấn thương da đầu trẻ sơ sinh do máy monitor
P12.8,Chấn thương da đầu khác khi sinh
P12.9,"Chấn thương da đầu khi sinh, chưa xác định"
P13,Chấn thương hệ xương khi sinh
P13.1,Chấn thương khi sinh khác lên vòm sọ
P13.2,Chấn thương xương đùi khi sinh
Q84.0,Rụng lông tóc bẩm sinh
Q84.1,Rối loạn bẩm sinh hình thái của tóc mà không xếp loại ở chỗ khác
Q84.2,Dị tật bẩm sinh khác của lông tóc
Q84.4,Móng đốm trắng bẩm sinh
Q84.5,Móng to và phì đại
Q84.8,Dị tật bẩm sinh đặc hiệu khác của bộ phận bao bọc
Q84.9,Dị tật bẩm sinh khác của bộ phận bao bọc không đặc hiệu
Q85,"Hội chứng u thần kinh - da ngoại bì, chưa được phân loại"
Q85.0,U xơ thần kinh (lành tính)
Q85.8,"Hội chứng u thần kinh da ngoại bì khác, chưa được phân loại"
Q85.9,Hội chứng u thần kinh da ngoại bì không đặc hiệu
Q86.0,Hội chứng cồn bào thai (dị hình)
Q86.1,Hội chứng hydantoin bào thai
Q86.2,Dị hình do warfarin
Q86.8,Các dị tật bẩm sinh khác do các nguyên nhân bên ngoài đã biết
Q87,Các hội chứng dị tật bẩm sinh khác gây tổn thương nhiều hệ thống
Q87.0,Các hội chứng dị tật bẩm sinh gây tổn thương chủ yếu ở hình dạng của mặt
Q87.1,Các hội chứng dị tật bẩm sinh liên quan chủ yếu đến thân hình ngắn
Q87.2,Các hội chứng dị tật bẩm sinh liên quan chủ yếu đến các chi
Q87.3,Các hội chứng dị tật bẩm sinh có phát triển sớm quá mức
Q87.4,Hội chứng Marfan
Q87.5,Các hội chứng dị tật bẩm sinh khác đi kèm các thay đổi xương khác
Q87.8,"Các hội chứng dị tật bẩm sinh đặc hiệu khác, chưa phân loại"
Q89,"Các dị tật bẩm sinh khác, chưa phân loại"
O71.6,Tổn thương khớp vùng chậu và dây chằng do sản khoa
O71.7,Máu tụ tiểu khung do sản khoa
O71.8,Chấn thương sản khoa chỉ rõ khác
O71.9,"Chấn thương sản khoa, chưa xác định rõ"
O72,Chảy máu sau đẻ
O72.0,Chảy máu thời kỳ sổ rau
O72.1,Chảy máu ngay sau lúc đẻ khác
O72.3,Thiếu hụt đông máu sau đẻ
O73,Sót rau và màng rau không có chảy máu
O73.0,Sót rau không có chảy máu
O73.1,"Sót phần bánh rau và màng rau, không có chảy máu"
O74.0,Viêm phổi do hít vì gây mê trong chuyển dạ và trong đẻ
O74.1,"Biến chứng khác của phổi do gây mê trong chuyển dạ, trong đẻ"
O74.2,"Biến chứng tim của gây mê trong chuyển dạ, trong đẻ"
O74.3,"Biến chứng hệ thống thần kinh trung ương của gây mê trong chuyển dạ, trong đẻ"
O74.4,"Phản ứng độc của gây tê tại chỗ trong chuyển dạ, trong đẻ"
O74.5,"Đau đầu do gây tê tủy sống và ngoài màng cứng trong chuyển dạ, trong đẻ"
O74.7,"Không đặt được hay khó đặt nội khí quản trong chuyển dạ, trong đẻ"
O74.8,"Biến chứng khác của gây mê trong chuyển dạ, trong đẻ"
O74.9,"Biến chứng của gây mê trong chuyển dạ, trong đẻ, chưa xác định rõ"
O75,Biến chứng khác của chuyển dạ không xếp loại ở chỗ khác
Q95.8,Sắp xếp lại cân bằng và dấu ấn cấu trúc khác
Q95.9,"Sắp xếp lại cân bằng và dấu ấn cấu trúc, không đặc hiệu"
Q96,Hội chứng Turner
Q96.0,"Kiểu nhiễm sắc thể 45,X"
Q96.2,"Kiểu nhiễm sắc thể 46,X với nhiễm sắc thể giới tính bất thường, trừ iso (Xq)"
Q96.3,"Thể khảm, 45,X/46,XX hay XY"
Q96.4,"Thể khảm, 45,X /dòng tế bào khác có nhiễm sắc thể giới tính bất thường"
Q96.8,Các dạng khác của hội chứng Turner
Q96.9,"Hội chứng Turner, không đặc hiệu"
O98.9,"Bệnh nhiễm khuẩn và nhiễm KST chưa xác định của bà mẹ gây biến chứng cho thai nghén, khi đẻ và sau khi đẻ"
O99,"Các bệnh khác của bà mẹ đã được xếp loại nhưng gây biến chứng cho thai nghén, khi đẻ và sau khi đẻ"
O99.0,"Thiếu máu gây biến chứng cho thai nghén, khi đẻ và sau đẻ"
O99.1,"Các bệnh khác của máu, cơ quan tạo máu và rối loại cơ chế miễn dịch gây biến chứng cho thai nghén, khi đẻ và sau khi đẻ"
O99.2,"Bệnh nội tiết, dinh dưỡng và chuyển hóa gây biến chứng cho thai nghén, khi đẻ và sau đẻ"
O99.3,"Rối loạn tâm thần và bệnh lý hệ thần kinh gây biến chứng cho thai nghén, khi đẻ và sau đẻ"
O99.4,"Bệnh của hệ thống tuần hoà gây biến chứng cho thai nghén, khi đẻ và sau đẻ"
O99.5,"Bệnh của hệ thống hô hấp gây biến chứng thai nghén, khi đẻ và sau đẻ"
O99.6,"Bệnh của hệ thống tiêu hóa gây biến chứng cho thai nghén, khi đẻ và sau đẻ"
O99.8,"Bệnh và các tình trạng xác định khác gây biến chứng cho thai nghén, khi đẻ và sau đẻ"
P00,Thai nhi và trẻ sơ sinh bị ảnh hưởng do các yếu tố của mẹ có thể không liên quan đến lần thai nghén hiện nay
P00.0,Thai nhi và trẻ sơ sinh ảnh hưởng do các rối loạn tăng huyết áp của mẹ
P00.1,Thai nhi và trẻ sơ sinh bị ảnh hưởng do bệnh thận và bệnh đường tiết niệu của mẹ
P00.2,Thai nhi và trẻ sơ sinh bị ảnh hưởng do các bệnh nhiễm khuẩn và nhiễm ký sinh trùng của mẹ
P00.3,Thai nhi và trẻ sơ sinh bị ảnh hưởng do các bệnh lý khác về tuần hoàn và hô hấp của mẹ
P00.4,Thai nhi và trẻ sơ sinh bị ảnh hưởng do các rối loạn dinh dưỡng của mẹ
P00.5,Thai nhi và trẻ sơ sinh bị ảnh hưởng do mẹ bị chấn thương
P00.7,"Thai nhi và trẻ sơ sinh bị ảnh hưởng do các thủ thuật nội khoa khác của mẹ, chưa được phân loại nơi khác"
P00.8,Thai nhi và trẻ sơ sinh bị ảnh hưởng do các bệnh lý khác của mẹ
P00.9,Thai nhi và trẻ sơ sinh bị ảnh hưởng do các tình trạng bệnh lý chưa xác định của mẹ
P01,Thai nhi và trẻ sơ sinh bị ảnh hưởng do biến chứng thai nghén của mẹ
P01.0,Thai nhi và trẻ sơ sinh bị ảnh hưởng do hở eo cổ tử cung
P01.1,Thai nhi và trẻ sơ sinh bị ảnh hưởng do ối vỡ non
P01.3,Thai nhi và trẻ sơ sinh bị ảnh hưởng do đa ối
P01.4,Thai nhi và trẻ sơ sinh bị ảnh hưởng do chửa ngoài tử cung
M31.6,Bệnh viêm động mạch có tế bào khổng lồ khác
M31.8,Các bệnh viêm mạch đặc hiệu hoại tử khác
M32,Lupus ban đỏ hệ thống
M32.0,Bệnh Lupus ban đỏ hệ thống do thuốc
M32.1†,Bệnh Lupus ban đỏ hệ thống có tổn thương phủ tạng
M32.8,Các dạng khác của Lupus ban đỏ hệ thống
M32.9,Lupus ban đỏ hệ thống không đặc hiệu
M33,Viêm da cơ
M33.0,Viêm da cơ trẻ em
M33.1,Các bệnh viêm da cơ khác
M33.2,Viêm đa cơ
M33.3,Viêm đa cơ và da không đặc hiệu
M34.0,Xơ cứng bì toàn thể tiến triển
M34.1,Hội chứng CR(E)ST
M34.2,Xơ cứng bì do dùng thuốc và hóa chất
M34.8,Các dạng khác của xơ cứng bì toàn thể
M34.9,"Xơ cứng bì toàn thể, không đặc hiệu"
M35,Các tổn thương hệ thống khác của mô liên kết
M35.0,Hội chứng khô (Hội chứng Sjogren)
M35.1,Các hội chứng trùng lắp khác
M35.3,Bệnh đau cơ dạng thấp
M35.4,Viêm cân mạc lan toả (tăng bạch cầu ái toan)
M35.6,Viêm mô mỡ dưới da hay tái phát (Weber - Christian)
M35.7,Hội chứng tăng vận động
M35.9,"Các tổn thương hệ thống của mô liên kết, không đặc hiệu"
M36.0*,Viêm da cơ và viêm đa cơ tự miễn trong các bệnh lý khối u (C00-D48†)
M36.2*,Tổn thương khớp trong bệnh ưa chảy máu (D66-D68†)
M36.3*,Bệnh khớp trong các bệnh về máu khác (D50-D76†)
M36.4*,Bệnh khớp trong phản ứng quá mẫn đã được xếp loại ở mục khác
M36.8*,Tổn thương hệ thống mô liên kết trong các bệnh đã được xếp loại ở mục khác
M40.0,Gù do tư thế
M40.1,Các gù cột sống thứ phát khác
M40.2,Các gù không đặc hiệu khác
